,updated_type,updated_subtype,lon_bin,lat_bin,count,type-subtype
256,Accident,Major,-87.67,41.9,299,Accident-Major
299,Accident,Major,-87.65,41.87,249,Accident-Major
297,Accident,Major,-87.65,41.85,173,Accident-Major
298,Accident,Major,-87.65,41.86,170,Accident-Major
277,Accident,Major,-87.66,41.89,156,Accident-Major
300,Accident,Major,-87.65,41.88,145,Accident-Major
253,Accident,Major,-87.67,41.87,136,Accident-Major
318,Accident,Major,-87.64,41.84,134,Accident-Major
314,Accident,Major,-87.64,41.8,129,Accident-Major
317,Accident,Major,-87.64,41.83,127,Accident-Major
739,Accident,Minor,-87.64,41.84,58,Accident-Minor
698,Accident,Minor,-87.66,41.89,55,Accident-Minor
719,Accident,Minor,-87.65,41.88,54,Accident-Minor
716,Accident,Minor,-87.65,41.85,50,Accident-Minor
717,Accident,Minor,-87.65,41.86,50,Accident-Minor
683,Accident,Minor,-87.67,41.91,49,Accident-Minor
718,Accident,Minor,-87.65,41.87,46,Accident-Minor
524,Accident,Minor,-87.75,41.96,44,Accident-Minor
541,Accident,Minor,-87.74,41.95,39,Accident-Minor
580,Accident,Minor,-87.72,41.94,38,Accident-Minor
1260,Accident,Unclassified,-87.66,41.89,502,Accident-Unclassified
1293,Accident,Unclassified,-87.65,41.87,454,Accident-Unclassified
1226,Accident,Unclassified,-87.67,41.9,432,Accident-Unclassified
1292,Accident,Unclassified,-87.65,41.86,429,Accident-Unclassified
1294,Accident,Unclassified,-87.65,41.88,387,Accident-Unclassified
1291,Accident,Unclassified,-87.65,41.85,333,Accident-Unclassified
1321,Accident,Unclassified,-87.64,41.84,326,Accident-Unclassified
1227,Accident,Unclassified,-87.67,41.91,308,Accident-Unclassified
1381,Accident,Unclassified,-87.62,41.89,286,Accident-Unclassified
987,Accident,Unclassified,-87.75,41.96,271,Accident-Unclassified
1978,Hazard,On Road,-87.65,41.88,1701,Hazard-On Road
1976,Hazard,On Road,-87.65,41.86,1652,Hazard-On Road
1905,Hazard,On Road,-87.67,41.87,1565,Hazard-On Road
1977,Hazard,On Road,-87.65,41.87,1555,Hazard-On Road
1975,Hazard,On Road,-87.65,41.85,1526,Hazard-On Road
1943,Hazard,On Road,-87.66,41.89,1392,Hazard-On Road
2007,Hazard,On Road,-87.64,41.84,1383,Hazard-On Road
1657,Hazard,On Road,-87.75,41.96,1377,Hazard-On Road
1909,Hazard,On Road,-87.67,41.91,1308,Hazard-On Road
2003,Hazard,On Road,-87.64,41.8,1306,Hazard-On Road
2638,Hazard,On Shoulder,-87.64,41.83,3610,Hazard-On Shoulder
2582,Hazard,On Shoulder,-87.66,41.89,3566,Hazard-On Shoulder
2614,Hazard,On Shoulder,-87.65,41.87,3498,Hazard-On Shoulder
2740,Hazard,On Shoulder,-87.59,41.65,2993,Hazard-On Shoulder
2635,Hazard,On Shoulder,-87.64,41.8,2934,Hazard-On Shoulder
2639,Hazard,On Shoulder,-87.64,41.84,2927,Hazard-On Shoulder
2324,Hazard,On Shoulder,-87.75,41.96,2852,Hazard-On Shoulder
2637,Hazard,On Shoulder,-87.64,41.82,2797,Hazard-On Shoulder
2633,Hazard,On Shoulder,-87.64,41.78,2789,Hazard-On Shoulder
2613,Hazard,On Shoulder,-87.65,41.86,2638,Hazard-On Shoulder
