,type-subtype,hour,lon_bin,lat_bin,count
69,Accident-Major,00:00,-87.65,41.86,12
71,Accident-Major,00:00,-87.65,41.88,10
82,Accident-Major,00:00,-87.63,41.73,9
68,Accident-Major,00:00,-87.65,41.85,8
93,Accident-Major,00:00,-87.62,41.71,7
11,Accident-Major,00:00,-87.78,41.87,6
13,Accident-Major,00:00,-87.77,41.97,6
59,Accident-Major,00:00,-87.67,41.9,6
60,Accident-Major,00:00,-87.67,41.91,6
15,Accident-Major,00:00,-87.76,41.96,5
170,Accident-Major,01:00,-87.65,41.86,11
171,Accident-Major,01:00,-87.65,41.87,10
172,Accident-Major,01:00,-87.65,41.88,9
134,Accident-Major,01:00,-87.72,41.87,8
156,Accident-Major,01:00,-87.67,41.9,7
169,Accident-Major,01:00,-87.65,41.85,7
176,Accident-Major,01:00,-87.64,41.78,7
162,Accident-Major,01:00,-87.66,41.89,6
185,Accident-Major,01:00,-87.63,41.72,6
124,Accident-Major,01:00,-87.75,41.97,5
257,Accident-Major,02:00,-87.65,41.85,13
256,Accident-Major,02:00,-87.65,41.84,8
259,Accident-Major,02:00,-87.65,41.87,7
260,Accident-Major,02:00,-87.65,41.88,7
265,Accident-Major,02:00,-87.64,41.81,7
254,Accident-Major,02:00,-87.66,41.89,6
258,Accident-Major,02:00,-87.65,41.86,6
274,Accident-Major,02:00,-87.63,41.75,6
292,Accident-Major,02:00,-87.6,41.69,6
213,Accident-Major,02:00,-87.77,41.87,5
352,Accident-Major,03:00,-87.66,41.89,19
354,Accident-Major,03:00,-87.65,41.85,14
357,Accident-Major,03:00,-87.65,41.88,12
356,Accident-Major,03:00,-87.65,41.87,10
368,Accident-Major,03:00,-87.64,41.84,10
355,Accident-Major,03:00,-87.65,41.86,9
347,Accident-Major,03:00,-87.67,41.91,8
364,Accident-Major,03:00,-87.64,41.8,8
367,Accident-Major,03:00,-87.64,41.83,8
374,Accident-Major,03:00,-87.63,41.76,7
456,Accident-Major,04:00,-87.65,41.87,16
463,Accident-Major,04:00,-87.64,41.79,10
454,Accident-Major,04:00,-87.65,41.85,9
455,Accident-Major,04:00,-87.65,41.86,9
464,Accident-Major,04:00,-87.64,41.8,9
468,Accident-Major,04:00,-87.64,41.84,9
450,Accident-Major,04:00,-87.66,41.89,8
467,Accident-Major,04:00,-87.64,41.83,7
493,Accident-Major,04:00,-87.59,41.65,7
432,Accident-Major,04:00,-87.7,41.93,6
549,Accident-Major,05:00,-87.65,41.87,13
550,Accident-Major,05:00,-87.65,41.88,12
525,Accident-Major,05:00,-87.71,41.87,8
547,Accident-Major,05:00,-87.65,41.85,7
552,Accident-Major,05:00,-87.64,41.78,6
553,Accident-Major,05:00,-87.64,41.79,6
